,chunkId,content,heading,originalLanguageChunk,StartPage,EndPage,originalLanguageHeading,ContentWordCount,pdfName,contentType,image,summary
0,1,"RBI/2017-18/4 FIDD.CO.FSD.BC.No.7/05.05.010/2017-18                                                                  July 3, 2017 The Chairman / Managing Director /Chief Executive Officer All Scheduled Commercial Banks (including Small Finance Banks and excluding RRBs) Madam/Sir,The Reserve Bank of India has issued guidelines on Kisan Credit Card (KCC) scheme from time to time. This Master Circular consolidates the relevant guidelines issued by the Bank on Kisan Credit Card scheme upto June 30, 2017 as listed in the Appendix. 2. The Master Circular has been placed on the RBI website http://www.rbi.org.in. Yours faithfully    (Ajay Kumar Misra) Chief General Manager Encl: As above","nan,Master Circular - Kisan Credit Card (Kcc) Scheme",,,,,91,input/md/english/04MCKCC03072017.pdf,para,,"This Master Circular consolidates the relevant guidelines issued by the Reserve Bank of India on Kisan Credit Card (KCC) scheme up to June 30, 2017. It has been issued to all Scheduled Commercial Banks, including Small Finance Banks, and excludes RRBs. The guidelines on Kisan Credit Card scheme have been issued by the Reserve Bank of India from time to time. The Master Circular has been placed on the RBI website for reference. The circular has been signed by Ajay Kumar Misra, Chief General Manager."
1,3,"The Kisan Credit Card (KCC) scheme was introduced in 1998 for issue of Kisan Credit Cards to farmers on the basis of their holdings for uniform adoption by the banks so that farmers may use them to readily purchase agriculture inputs such as seeds, fertilizers, pesticides etc. and draw cash for their production needs. The scheme was further extended for the investment credit requirement of farmers viz. allied and non-farm activities in the year 2004. The scheme was further revisited in 2012 by a working Group under the Chairmanship of Shri T. M. Bhasin, CMD, Indian Bank with a view to simplify the scheme and facilitate issue of Electronic Kisan Credit Cards. The scheme provides broad guidelines to banks for operationalizing the KCC scheme. Implementing banks will have the discretion to adopt the same to suit institution/location specific requirements.",1 Introduction,,,,,139,input/md/english/04MCKCC03072017.pdf,para,,"The Kisan Credit Card (KCC) scheme was introduced in 1998 to provide farmers with a convenient way to access credit for purchasing agricultural inputs and meeting production needs. In 2004, the scheme was expanded to cover investment credit requirements for allied and non-farm activities. A working group chaired by Shri T. M. Bhasin revisited the scheme in 2012 to simplify it and enable the issuance of Electronic Kisan Credit Cards. The scheme offers general guidelines for banks to implement the KCC, allowing flexibility for banks to adapt it to their specific requirements."
2,4,"The Kisan Credit Card Scheme detailed in the ensuing paragraphs is to be implemented by Commercial Banks, RRBs, Small Finance Banks and Cooperatives.The Kisan Credit Card scheme aims at providing adequate and timely credit support from the banking system under a single window with flexible and simplified procedure to the farmers for their cultivation and other needs as indicated below:    a.  To meet the short term credit requirements for cultivation of crops;    b.  Post-harvest expenses;    c.  Produce marketing loan;    d.  Consumption requirements of farmer household;    e.  Working capital for maintenance of farm assets and activities allied to agriculture;       f.    Investment credit requirement for agriculture and allied activities.        Note: The aggregate of components '**a' to 'e'** above will form the short term credit limit  portion and the aggregate of components under 'f' will form the long term credit limit  portion.","Applicability Of The Scheme 2,3 **Objective / Purpose**",,,,,140,input/md/english/04MCKCC03072017.pdf,para,,"The Kisan Credit Card Scheme is to be implemented by various financial institutions and aims to provide timely credit support to farmers for their cultivation and other needs. This includes meeting short term credit requirements for crop cultivation, post-harvest expenses, produce marketing loans, consumption needs of the farmer household, working capital for farm maintenance, and investment credit for agriculture and allied activities. The scheme offers a single window with flexible and simplified procedures for farmers to access credit. The short term credit limit includes components a to e, while the long term credit limit includes components under f."
3,6,"i.  Farmers - individual/joint borrowers who are owner cultivators;    ii.  Tenant farmers, oral lessees & share croppers;    iii.  Self Help Groups (SHGs) or Joint Liability Groups (JLGs) of farmers including tenant farmers, share croppers etc.The credit limit under the Kisan Credit Card may be fixed as under :","4 Eligibility,5 Fixation Of Credit Limit / Loan Amount",,,,,49,input/md/english/04MCKCC03072017.pdf,para,,"Farmers, including individual/joint borrowers, tenant farmers, oral lessees, share croppers, and Self Help Groups (SHGs) or Joint Liability Groups (JLGs) of farmers are eligible for the Kisan Credit Card. The credit limit for the Kisan Credit Card is fixed based on the type of borrower. For individual/joint borrowers who are owner cultivators, the credit limit is determined based on the scale of finance. Tenant farmers, oral lessees, share croppers, and SHGs or JLGs of farmers have specific criteria for the fixation of credit limit."
4,7,"5.1.1  The short term limit to be arrived for the first year (For cultivating single crop in a year):  Scale of finance for the crop (as decided by District Level Technical Committee) x Extent of area cultivated + 10% of limit towards postharvest/household/ consumption requirements + 20% of limit towards repairs and maintenance expenses of farm assets + crop insurance and/or  accident insurance including PAIS, health insurance & asset insurance.      5.1.2  Limit for second & subsequent year      First year limit for crop cultivation purpose arrived at as above plus 10% of the limit towards cost escalation / increase in scale of finance for every successive year (2nd, 3rd, 4th and 5th year) and estimated term loan component for the  tenure of Kisan Credit Card, i.e., five years. (**Illustration I**)      5.1.3  For cultivating more than one crop in a year   The limit is to be fixed as above depending upon the crops cultivated as per proposed cropping pattern for the first year plus an additional 10% of the limit towards cost escalation / increase in scale of finance for every successive year (2nd, 3rd, 4th and 5th year).",5.1 All Farmers Other Than Marginal Farmers1 :,,,,,187,input/md/english/04MCKCC03072017.pdf,para,,"The short term limit for cultivating a single crop in the first year is determined by multiplying the scale of finance for the crop by the extent of the cultivated area, and adding 10% for postharvest/household/consumption requirements, 20% for repairs and maintenance expenses, and the cost of insurance. For the second and subsequent years, the limit includes the first year's limit plus 10% for cost escalation and the estimated term loan component for the tenure of the Kisan Credit Card. If cultivating more than one crop in a year, the limit is determined based on the proposed cropping pattern for the first year, with an additional 10% for cost escalation in the following years."
5,7,"It is assumed that the farmer adopts the same cropping pattern for the succeeding four years. In case the cropping pattern adopted by the farmer is changed in the subsequent year, the limit may be reworked. (**Illustration I**)      5.1.4  Term loan for investment  The term loan for investment is to be made towards land development, minor irrigation, purchase of farm equipment and allied agricultural activities. The banks may fix the quantum of credit for term and working capital limit for agricultural and allied activities, etc., based on the unit cost of the asset/s proposed to be acquired by the farmer, the allied activities already being undertaken on the farm, the bank's judgment on repayment capacity vis-a-vis total loan burden devolving on the farmer, including existing loan obligations.  The long term loan limit should be based on the proposed investment(s) during the five year period and the bank's perception on the repaying capacity of the farmer.      5.1.5  Maximum Permissible Limit  The short term loan limit arrived for the 5th year plus the estimated long term  loan requirement will be the Maximum Permissible Limit (MPL) and is to be treated as the Kisan Credit Card limit.      5.1.6  Fixation of Sub-limits   i.",5.1 All Farmers Other Than Marginal Farmers1 :,,,,,199,input/md/english/04MCKCC03072017.pdf,para,,"The farmer's assumed cropping pattern for the next four years will determine the loan limit, which may be adjusted if the pattern changes. Term loans for investment in land development, irrigation, farm equipment, and allied activities will be determined by the unit cost of the assets and the farmer's repayment capacity. The Maximum Permissible Limit (MPL) for the Kisan Credit Card will be the short term loan limit for the 5th year plus the estimated long term loan requirement. Sub-limits will be fixed based on the farmer's repayment capacity and the nature of the activities."
6,7,"Short term loans and term loans are governed by different interest rates. At present, short term crop loans upto ₹ 3 lakh are covered under Interest Subvention Scheme/Prompt Repayment Incentive scheme of the Government  of India2. Further, repayment schedule and norms are different for short term  and term loans. Hence, in order to have operational and accounting convenience, the card limit is to be bifurcated into separate sub-limits for short term cash credit limit cum savings account and *term loans*.  ii. *Drawing limit* for short term cash credit should be fixed based on the  cropping pattern. The amount(s) for crop production, repair and maintenance of farm assets and consumption may be allowed to be drawn as per the convenience of the farmer. In case the revision of scale of finance for any year by the district level technical committee exceeds the notional hike of 10% contemplated while fixing the five year limit, a revised drawable limit may be fixed in consultation with the farmer. In case such revisions require the card limit itself to be enhanced (4th or 5th year), the same may be done and the farmer be so advised.   iii.",5.1 All Farmers Other Than Marginal Farmers1 :,,,,,192,input/md/english/04MCKCC03072017.pdf,para,,"Short term and term loans have different interest rates and repayment schedules. Currently, short term crop loans up to ₹3 lakh are covered under the Interest Subvention Scheme/Prompt Repayment Incentive scheme of the Government of India. To ensure operational and accounting convenience, the card limit is to be divided into separate sub-limits for short term cash credit and term loans. The drawing limit for short term cash credit should be based on the cropping pattern, allowing for flexibility in accessing funds for crop production, repair, and consumption. If the revision of scale of finance exceeds the notional hike of 10%, a revised drawable limit may be fixed in consultation with the farmer. If necessary, the card limit itself may be enhanced in the 4th or 5th year, with the farmer being informed accordingly."
7,7,"For term loans, installments may be allowed to be withdrawn based on the nature of investment and repayment schedule drawn as per the economic life of the proposed investments. It is to be ensured that at any point of time the total liability should be **within the drawing limit of the concerned year**.  iv. Wherever the card limit / liability so arrived warrants additional security, the banks may take suitable collateral as per their policy.",5.1 All Farmers Other Than Marginal Farmers1 :,,,,,75,input/md/english/04MCKCC03072017.pdf,para,,Term loans installments may be withdrawn based on the investment nature and repayment schedule. Total liability should be within the drawing limit at any point in time. Banks may take additional collateral if the card limit warrants it.
8,12,"A flexible limit of ₹ 10, 000 to ₹ 50, 000 may be provided (as Flexi KCC) based on the land holding and crops grown including post-harvest warehouse storage related credit needs and other farm expenses, consumption needs, etc., plus small term loan investment(s) like purchase of farm equipment(s), establishing mini dairy/backyard poultry as per assessment of the Branch Manager without relating it to the value of land. The composite KCC limit is to be fixed for a period of five years on this basis.      Wherever higher limit is required due to change in cropping pattern and / or scale of finance, the limit may be arrived at as per the estimation indicated at para 4.1   (**Illustration II**)",5.2 For Marginal Farmers,,,,,118,input/md/english/04MCKCC03072017.pdf,para,,"Marginal farmers can access a flexible credit limit ranging from ₹10,000 to ₹50,000, known as Flexi KCC, based on their land holding, crops grown, post-harvest storage needs, and other farm expenses. This also covers small term loan investments for farm equipment or establishing mini dairy/backyard poultry, as assessed by the Branch Manager, without being tied to the land value. The composite KCC limit is set for a five-year period. If a higher limit is needed due to changes in cropping pattern or scale of finance, it can be determined based on the estimation provided in the document."
9,13,"6.1  The short term component of the KCC limit is in the nature of revolving cash credit  facility. There should be no restriction in number of debits and credits. The drawing limit for the current season/year could be allowed to be drawn using any of the following delivery channels.      i.  operation through branch;      ii.  operation using cheque facility;      iii.  withdrawal through ATM /debit cards      iv.  operation through Business Correspondents and 'banking outlet/part-time  banking outlet'3      v.  operation through PoS available in Sugar Mills/Contract farming companies, etc., especially for tie-up advances;      vi.  operations through PoS available with input dealers;      vii.  Mobile based transfer transactions at agricultural input dealers and mandies.  Note : (v), (vi) & (vii) to be introduced as early as possible so as to reduce transaction costs of both the bank as well as the farmer.  6.2  The long term loan for investment purposes may be drawn as per installment fixed.",6 Disbursement,,,,,151,input/md/english/04MCKCC03072017.pdf,para,,"The KCC limit's short term component is a revolving cash credit facility with no restrictions on debits and credits. The drawing limit for the current season/year can be accessed through various delivery channels including branch operations, cheque facility, ATM/debit cards, Business Correspondents, and PoS systems. Introduction of PoS and mobile-based transfer transactions is recommended to reduce transaction costs for both the bank and the farmer. Long term loans for investment purposes can be drawn in installments as per the fixed schedule."
10,14,"All new KCC must be issued as smart card cum debit card as laid down in Part II of the Annex. Further, at the time of renewal of existing KCC; farmers must be issued smart card cum debit card.  The short term credit limit and the term loan limit are two distinct components of the aggregate KCC limit bearing different rates of interest and repayment periods. Until a composite card could be issued with appropriate software to separately account transactions in the sub limits, two separate electronic cards may be issued for all new/renewed cards.",7 Issue Of Electronic Kisan Credit Cards,,,,,95,input/md/english/04MCKCC03072017.pdf,para,,"Electronic Kisan Credit Cards should be issued as smart card cum debit card as per the guidelines. When renewing existing KCC, farmers must be issued smart card cum debit card. The short term credit limit and the term loan limit are distinct components of the aggregate KCC limit with different rates of interest and repayment periods. Until a composite card can be issued, two separate electronic cards may be issued for new/renewed cards. The separate cards will account for transactions in the sub limits."
11,15,"i.  Banks may determine the validity period of KCC and its periodic review.    ii.  The review may result in continuation of the facility, enhancement of limit or cancellation of the limit/withdrawal of the facility depending upon increase in cropping area/pattern and performance of the borrower.    iii.  When the bank has granted extension and/or re-schedule the period of repayment on account of natural calamities affecting the farmer, the period for reckoning the status of operations as satisfactory or otherwise would get extended together with the extended amount of limit. When the proposed extension is beyond one crop season, the aggregate of debits for which extension is granted is to be transferred to a separate term loan account with stipulation for repayment in installments.",8 Validity/Renewal,,,,,122,input/md/english/04MCKCC03072017.pdf,para,,"Banks can determine the validity period of KCC and review it periodically, leading to continuation, enhancement, or cancellation of the facility based on cropping area and borrower performance. If the bank extends or reschedules repayment due to natural calamities, the reckoning of satisfactory operations is also extended, and if the extension is beyond one crop season, the debits are transferred to a separate term loan account with installment repayment stipulations."
12,16,"The rate of interest will be as stipulated in DBR Master Directions on Interest Rate on Advances.10.1 The repayment period may be fixed by banks as per the anticipated harvesting and  marketing period for the crops for which the loan has been granted.  10.2 The term loan component will be normally repayable within a period of 5 years  depending on the type of activity/investment as per the existing guidelines applicable for investment credit.  10.3 Financing banks may, at their discretion, provide longer repayment period for term loan  depending on the type of investment.","9 Rate Of Interest (Roi) :,10 **Repayment Period :**",,,,,94,input/md/english/04MCKCC03072017.pdf,para,,"The rate of interest will be as per DBR Master Directions on Interest Rate on Advances. The repayment period may be fixed by banks based on the anticipated harvesting and marketing period for the crops. The term loan component will be normally repayable within 5 years, depending on the type of activity/investment. Financing banks may provide a longer repayment period for term loans at their discretion, depending on the type of investment."
13,18,"To be decided by banks.12.1 Security will be applicable as per RBI guidelines prescribed from time to time. 12.2 Security requirement may be as under :  i. Hypothecation of crops:  For KCC limit upto ₹ 1.00 lakh banks are to waive margin/security requirements. ii. With tie-up for recovery: Banks may consider sanctioning loans on hypothecation of crops up to card limit of ₹ 3.00 lakh without insisting on collateral security. iii. Collateral security: Collateral security may be obtained at the discretion of Bank for loan limits above ₹ 1.00 lakh in case of non-tie-up and above ₹ 3.00 lakh in case of tie-up advances. iv. In states where banks have the facility of on-line creation of charge on the land records, the same shall be ensured.","11 **Margin**,12 **Security**",,,,,127,input/md/english/04MCKCC03072017.pdf,para,,"Banks will decide the margin and security requirements, with security being in line with RBI guidelines. For KCC limits up to ₹1.00 lakh, banks may waive margin/security requirements for hypothecation of crops. Loans up to ₹3.00 lakh with tie-up for recovery may be sanctioned without collateral security. Collateral security may be obtained at the discretion of the bank for loan limits above ₹1.00 lakh in non-tie-up cases and above ₹3.00 lakh in tie-up advances. In states with online creation of charge on land records, this should be ensured."
14,20,"Uniformity to be adopted in respect of following:  13.1 The applicable interest subvention /incentive for prompt repayment4 as advised by  Government of India and/or State Governments. The bankers will give adequate publicity of the facility so that maximum farmers may benefit from the scheme.  13.2  Besides the mandatory crop insurance, the KCC holder should have the option to avail  the benefit of any type of asset insurance, accident insurance (including PAIS), health insurance (wherever product is available) and have premium paid through his/her KCC account. Premium has to be borne by the farmer/bank according to the terms of the scheme. Farmer beneficiaries should be made aware of the insurance cover available  and their consent (except in case of crop insurance, it being mandatory) is to be obtained, at the application stage itself.    13.3 A one-time documentation5 at the first time of availment of KCC loan and thereafter  simple declaration (about crops grown/proposed) by farmer from the second year onwards.",13. Other Features,,,,,159,input/md/english/04MCKCC03072017.pdf,para,,"Uniformity to be adopted in respect of applicable interest subvention/incentive for prompt repayment as advised by Government of India and/or State Governments. The KCC holder should have the option to avail the benefit of any type of asset insurance, accident insurance, health insurance, and have premium paid through his/her KCC account. Farmer beneficiaries should be made aware of the insurance cover available and their consent is to be obtained at the application stage. A one-time documentation at the first time of availment of KCC loan and thereafter a simple declaration by the farmer from the second year onwards is required. The bankers will give adequate publicity of the facility so that maximum farmers may benefit from the scheme."
15,21,"14.1 The extant prudential norms on income recognition, asset-classification and  provisioning6 will apply for loans granted under the KCC Scheme.    14.2 Charging of interest is to be done uniformly as is applicable to agricultural advances.  15 Processing fee, inspection charges and other charges may be decided by banks. 16 Other conditions while implementing the revised guidelines of KCC Scheme :    16.1 In case the farmer applies for loan against the warehouse receipt of his produce, the  banks would consider such requests as per the established procedure and guidelines. However, when such loans are sanctioned, these should be linked with the crop loan account, if any, and the crop loan outstanding in the account could be settled at the stage of disbursal of the pledge loan, if the farmer so desires.    16.2 The National Payments Corporation of India (NPCI) will design the KCC card to be  adopted by all the banks with their branding. …………………………………………………………………………………………………….",14 **Classification Of Account As Npa :**,,,,,154,input/md/english/04MCKCC03072017.pdf,para,,"The existing prudential norms for income recognition, asset classification, and provisioning will be applicable to loans under the KCC Scheme. Interest should be charged uniformly as for agricultural advances, and other charges may be determined by banks. When a farmer applies for a loan against the warehouse receipt of their produce, banks should consider such requests according to established procedures. Additionally, the NPCI will design the KCC card to be adopted by all banks with their branding."
16,18,"A.  Land holding : 2 acres      B.  Cropping Pattern  Paddy - 1 acre (Scale of finance plus crop insurance per acre : ₹.11000)  Sugarcane - 1 acre (Scale of finance plus crop insurance per acre : ₹.22,000)      C.  Investment / Allied Activities  i  Establishment of 1+1 Dairy Unit in 1st Year () (Unit Cost : ₹ 20,000 per animal)  ii  Replacement of Pump set in 3rd year (Unit Cost : ₹.30,000)    2.  (i)  Crop loan Component  :  ₹.33,000  Cost of cultivation of 1 acre of Paddy and 1acre of Sugarcane (11,000+22,000)  :  ₹. 3,300  Add : 10% towards post-harvest / household expense / consumption Add : 20% towards farm maintenance  :  ₹. 6,600  Total Crop Loan limit for 1st year  :  ₹. 42,900  Loan Limit for 2nd year      :  ₹. 4,300  Add : 10% of the limit towards cost escalation / increase in scale of finance (10% of 42900 i.e 4300)  ₹. 47,200    Loan Limit for 3rd year  :      ₹. 4,700  Add : 10% of the limit towards cost escalation / increase in scale of finance (10% of 47,200 i.e., 4,700)  ₹. 51,900    :    Loan Limit for 4th year  :      ₹.",Illustration I A. **Small Farmer Cultivating Multiple Crops In A Year** 1. Assumptions,,,,,191,input/md/english/04MCKCC03072017.pdf,para,,"Small farmer cultivating multiple crops in a year with 2 acres of land and a cropping pattern of paddy and sugarcane. The investment and allied activities include the establishment of a dairy unit in the first year and the replacement of a pump set in the third year. The crop loan component for the first year is ₹42,900, for the second year is ₹47,200, for the third year is ₹51,900, and for the fourth year is ₹."
17,18,"5,200  Add : 10% of the limit towards cost escalation / increase in scale of finance (10% of 51,900 i.e 5,200)  ₹. 57,100    :    Loan Limit for 5th year  :      ₹. 5,700  Add : 10% of the limit towards cost escalation / increase in scale of finance (10% of 57100 i.e 5700)  ₹. 62,800  Say ….(A) :  ₹. 63,000     :",Illustration I A. **Small Farmer Cultivating Multiple Crops In A Year** 1. Assumptions,,,,,60,input/md/english/04MCKCC03072017.pdf,para,,"The loan limit for the 5th year is ₹57,100, with an additional 10% for cost escalation, bringing it to ₹62,800. This results in a final loan limit of ₹63,000."
